Week,Corset: (California),Corset: (New York)
2020-01-05,16,20
2020-01-12,17,23
2020-01-19,19,27
2020-01-26,15,21
2020-02-02,15,24
2020-02-09,19,23
2020-02-16,18,27
2020-02-23,16,24
2020-03-01,15,19
2020-03-08,14,20
2020-03-15,12,17
2020-03-22,15,16
2020-03-29,14,19
2020-04-05,16,19
2020-04-12,14,20
2020-04-19,18,20
2020-04-26,16,24
2020-05-03,17,24
2020-05-10,20,23
2020-05-17,17,20
2020-05-24,21,16
2020-05-31,18,22
2020-06-07,19,21
2020-06-14,19,25
2020-06-21,19,23
2020-06-28,19,27
2020-07-05,20,27
2020-07-12,21,25
2020-07-19,20,23
2020-07-26,21,27
2020-08-02,21,31
2020-08-09,21,30
2020-08-16,21,31
2020-08-23,21,24
2020-08-30,20,28
2020-09-06,22,28
2020-09-13,25,28
2020-09-20,29,30
2020-09-27,29,33
2020-10-04,34,39
2020-10-11,35,41
2020-10-18,34,41
2020-10-25,38,39
2020-11-01,21,29
2020-11-08,24,34
2020-11-15,24,28
2020-11-22,29,29
2020-11-29,26,31
2020-12-06,26,30
2020-12-13,29,31
2020-12-20,25,34
2020-12-27,32,38
2021-01-03,47,45
2021-01-10,52,50
2021-01-17,51,50
2021-01-24,46,45
2021-01-31,36,46
2021-02-07,39,42
2021-02-14,36,39
2021-02-21,35,43
2021-02-28,36,35
2021-03-07,32,45
2021-03-14,43,43
2021-03-21,38,42
2021-03-28,37,43
2021-04-04,31,41
2021-04-11,31,35
2021-04-18,32,40
2021-04-25,41,40
2021-05-02,35,38
2021-05-09,32,35
2021-05-16,32,38
2021-05-23,37,58
2021-05-30,35,71
2021-06-06,35,65
2021-06-13,31,66
2021-06-20,31,69
2021-06-27,32,67
2021-07-04,33,65
2021-07-11,33,70
2021-07-18,37,74
2021-07-25,32,64
2021-08-01,33,61
2021-08-08,31,66
2021-08-15,34,67
2021-08-22,34,68
2021-08-29,37,70
2021-09-05,42,76
2021-09-12,44,80
2021-09-19,46,81
2021-09-26,50,81
2021-10-03,54,87
2021-10-10,61,100
2021-10-17,65,89
2021-10-24,76,97
2021-10-31,45,63
2021-11-07,42,76
2021-11-14,38,62
2021-11-21,38,75
2021-11-28,36,68
2021-12-05,37,63
2021-12-12,30,50
2021-12-19,35,61
2021-12-26,42,56
2022-01-02,40,61
2022-01-09,42,66
2022-01-16,37,57
2022-01-23,44,66
2022-01-30,42,65
2022-02-06,47,71
2022-02-13,41,66
2022-02-20,53,65
2022-02-27,45,60
2022-03-06,50,68
2022-03-13,53,67
2022-03-20,47,70
2022-03-27,49,62
2022-04-03,48,61
2022-04-10,51,63
2022-04-17,46,65
2022-04-24,46,62
2022-05-01,49,68
2022-05-08,46,63
2022-05-15,41,57
2022-05-22,44,60
2022-05-29,40,59
2022-06-05,40,68
2022-06-12,36,50
2022-06-19,35,53
2022-06-26,37,56
2022-07-03,38,59
2022-07-10,41,58
2022-07-17,40,58
2022-07-24,41,55
2022-07-31,39,64
2022-08-07,41,64
2022-08-14,41,64
2022-08-21,42,61
2022-08-28,43,63
2022-09-04,48,56
2022-09-11,52,63
2022-09-18,54,66
2022-09-25,52,68
2022-10-02,57,72
2022-10-09,61,74
2022-10-16,64,77
2022-10-23,69,93
2022-10-30,46,65
2022-11-06,39,53
2022-11-13,36,50
2022-11-20,39,59
2022-11-27,34,59
2022-12-04,35,58
2022-12-11,37,64
2022-12-18,32,48
2022-12-25,38,63
2023-01-01,32,58
2023-01-08,36,57
2023-01-15,42,61
2023-01-22,44,64
2023-01-29,44,63
2023-02-05,41,57
2023-02-12,42,53
2023-02-19,41,47
2023-02-26,42,43
2023-03-05,45,49
2023-03-12,45,48
2023-03-19,47,50
2023-03-26,46,50
2023-04-02,47,50
2023-04-09,45,50
2023-04-16,44,48
2023-04-23,47,54
2023-04-30,46,52
2023-05-07,42,44
2023-05-14,38,48
2023-05-21,43,49
2023-05-28,41,45
2023-06-04,38,43
2023-06-11,40,48
2023-06-18,37,42
2023-06-25,41,39
2023-07-02,39,41
2023-07-09,41,44
2023-07-16,43,41
2023-07-23,43,40
2023-07-30,41,44
2023-08-06,43,42
2023-08-13,41,40
2023-08-20,41,43
2023-08-27,37,39
2023-09-03,46,44
2023-09-10,40,48
2023-09-17,48,49
2023-09-24,51,53
2023-10-01,57,60
2023-10-08,57,69
2023-10-15,70,74
2023-10-22,82,78
2023-10-29,50,50
2023-11-05,37,42
2023-11-12,34,39
2023-11-19,35,44
2023-11-26,38,40
2023-12-03,32,40
2023-12-10,31,39
2023-12-17,34,36
2023-12-24,31,37
2023-12-31,35,37
