Week,Cottagecore: (California),Cottagecore: (New York)
2020-01-05,6,0
2020-01-12,0,0
2020-01-19,0,0
2020-01-26,0,0
2020-02-02,0,0
2020-02-09,0,0
2020-02-16,6,0
2020-02-23,4,0
2020-03-01,4,0
2020-03-08,12,0
2020-03-15,6,7
2020-03-22,7,0
2020-03-29,6,11
2020-04-05,8,6
2020-04-12,8,6
2020-04-19,8,12
2020-04-26,11,0
2020-05-03,12,11
2020-05-10,9,0
2020-05-17,15,9
2020-05-24,16,10
2020-05-31,11,8
2020-06-07,21,14
2020-06-14,22,14
2020-06-21,30,17
2020-06-28,40,32
2020-07-05,34,25
2020-07-12,34,26
2020-07-19,37,23
2020-07-26,46,36
2020-08-02,48,32
2020-08-09,43,26
2020-08-16,37,25
2020-08-23,34,23
2020-08-30,32,19
2020-09-06,31,21
2020-09-13,28,27
2020-09-20,23,26
2020-09-27,27,19
2020-10-04,27,14
2020-10-11,24,13
2020-10-18,25,16
2020-10-25,29,11
2020-11-01,21,13
2020-11-08,30,15
2020-11-15,100,82
2020-11-22,47,27
2020-11-29,40,19
2020-12-06,38,23
2020-12-13,39,18
2020-12-20,41,20
2020-12-27,49,27
2021-01-03,58,27
2021-01-10,53,26
2021-01-17,44,35
2021-01-24,37,23
2021-01-31,38,28
2021-02-07,49,34
2021-02-14,52,28
2021-02-21,41,26
2021-02-28,41,26
2021-03-07,34,29
2021-03-14,43,31
2021-03-21,46,25
2021-03-28,49,37
2021-04-04,41,32
2021-04-11,45,23
2021-04-18,46,20
2021-04-25,45,30
2021-05-02,40,27
2021-05-09,44,17
2021-05-16,40,27
2021-05-23,31,24
2021-05-30,41,26
2021-06-06,38,21
2021-06-13,41,19
2021-06-20,43,25
2021-06-27,41,22
2021-07-04,42,31
2021-07-11,40,21
2021-07-18,35,11
2021-07-25,35,21
2021-08-01,35,17
2021-08-08,27,24
2021-08-15,26,16
2021-08-22,26,17
2021-08-29,28,14
2021-09-05,30,17
2021-09-12,31,25
2021-09-19,51,36
2021-09-26,24,23
2021-10-03,34,17
2021-10-10,32,15
2021-10-17,31,14
2021-10-24,29,17
2021-10-31,35,18
2021-11-07,35,26
2021-11-14,28,15
2021-11-21,38,10
2021-11-28,26,15
2021-12-05,28,24
2021-12-12,20,19
2021-12-19,24,15
2021-12-26,32,15
2022-01-02,35,17
2022-01-09,30,29
2022-01-16,28,15
2022-01-23,29,33
2022-01-30,23,17
2022-02-06,30,26
2022-02-13,29,19
2022-02-20,23,23
2022-02-27,22,21
2022-03-06,24,17
2022-03-13,27,21
2022-03-20,30,11
2022-03-27,29,19
2022-04-03,28,20
2022-04-10,27,19
2022-04-17,28,25
2022-04-24,27,20
2022-05-01,26,27
2022-05-08,30,22
2022-05-15,35,26
2022-05-22,27,18
2022-05-29,27,25
2022-06-05,23,19
2022-06-12,20,21
2022-06-19,31,15
2022-06-26,26,13
2022-07-03,30,23
2022-07-10,23,18
2022-07-17,27,15
2022-07-24,31,16
2022-07-31,27,25
2022-08-07,24,12
2022-08-14,19,21
2022-08-21,21,18
2022-08-28,20,12
2022-09-04,20,14
2022-09-11,21,14
2022-09-18,19,12
2022-09-25,15,17
2022-10-02,19,13
2022-10-09,17,16
2022-10-16,16,10
2022-10-23,16,14
2022-10-30,14,10
2022-11-06,21,0
2022-11-13,16,13
2022-11-20,14,12
2022-11-27,17,9
2022-12-04,17,0
2022-12-11,15,6
2022-12-18,15,11
2022-12-25,17,14
2023-01-01,19,7
2023-01-08,15,18
2023-01-15,18,9
2023-01-22,13,16
2023-01-29,19,11
2023-02-05,22,13
2023-02-12,15,10
2023-02-19,17,0
2023-02-26,21,12
2023-03-05,16,13
2023-03-12,17,15
2023-03-19,20,17
2023-03-26,21,15
2023-04-02,15,0
2023-04-09,17,16
2023-04-16,19,10
2023-04-23,17,12
2023-04-30,20,15
2023-05-07,17,16
2023-05-14,20,13
2023-05-21,19,15
2023-05-28,17,11
2023-06-04,18,11
2023-06-11,19,13
2023-06-18,15,14
2023-06-25,13,10
2023-07-02,15,7
2023-07-09,17,13
2023-07-16,17,7
2023-07-23,17,11
2023-07-30,20,6
2023-08-06,12,13
2023-08-13,15,13
2023-08-20,17,13
2023-08-27,13,8
2023-09-03,14,12
2023-09-10,12,7
2023-09-17,12,0
2023-09-24,15,12
2023-10-01,17,7
2023-10-08,12,16
2023-10-15,13,6
2023-10-22,14,10
2023-10-29,8,9
2023-11-05,11,7
2023-11-12,10,9
2023-11-19,14,0
2023-11-26,8,7
2023-12-03,9,9
2023-12-10,9,0
2023-12-17,11,9
2023-12-24,13,13
2023-12-31,13,7
