Week,Leg Warmers: (New York),Leg Warmers: (California)
2020-01-05,0,23
2020-01-12,22,28
2020-01-19,22,18
2020-01-26,0,0
2020-02-02,16,21
2020-02-09,22,9
2020-02-16,15,13
2020-02-23,13,10
2020-03-01,0,20
2020-03-08,0,8
2020-03-15,14,0
2020-03-22,0,0
2020-03-29,0,11
2020-04-05,18,0
2020-04-12,14,11
2020-04-19,14,0
2020-04-26,0,8
2020-05-03,13,8
2020-05-10,0,0
2020-05-17,0,0
2020-05-24,0,0
2020-05-31,0,0
2020-06-07,0,0
2020-06-14,0,0
2020-06-21,0,0
2020-06-28,0,0
2020-07-05,18,0
2020-07-12,0,0
2020-07-19,0,10
2020-07-26,0,0
2020-08-02,0,13
2020-08-09,15,9
2020-08-16,24,0
2020-08-23,0,0
2020-08-30,0,14
2020-09-06,14,12
2020-09-13,20,10
2020-09-20,25,10
2020-09-27,18,11
2020-10-04,24,20
2020-10-11,18,21
2020-10-18,16,28
2020-10-25,55,35
2020-11-01,15,18
2020-11-08,28,43
2020-11-15,63,22
2020-11-22,36,12
2020-11-29,32,27
2020-12-06,44,33
2020-12-13,25,38
2020-12-20,22,21
2020-12-27,36,28
2021-01-03,34,27
2021-01-10,31,16
2021-01-17,39,13
2021-01-24,22,29
2021-01-31,19,15
2021-02-07,23,12
2021-02-14,20,16
2021-02-21,30,15
2021-02-28,23,12
2021-03-07,24,20
2021-03-14,18,16
2021-03-21,15,20
2021-03-28,16,15
2021-04-04,0,19
2021-04-11,14,12
2021-04-18,0,14
2021-04-25,17,16
2021-05-02,0,0
2021-05-09,34,14
2021-05-16,0,0
2021-05-23,0,11
2021-05-30,0,16
2021-06-06,18,11
2021-06-13,0,13
2021-06-20,15,14
2021-06-27,15,13
2021-07-04,0,0
2021-07-11,22,9
2021-07-18,14,17
2021-07-25,16,0
2021-08-01,0,11
2021-08-08,0,9
2021-08-15,17,14
2021-08-22,15,10
2021-08-29,24,10
2021-09-05,23,19
2021-09-12,0,14
2021-09-19,21,18
2021-09-26,20,29
2021-10-03,30,30
2021-10-10,31,31
2021-10-17,37,40
2021-10-24,48,46
2021-10-31,38,45
2021-11-07,35,36
2021-11-14,35,47
2021-11-21,39,34
2021-11-28,64,46
2021-12-05,43,49
2021-12-12,42,56
2021-12-19,54,49
2021-12-26,48,53
2022-01-02,26,44
2022-01-09,35,37
2022-01-16,38,28
2022-01-23,35,33
2022-01-30,40,24
2022-02-06,23,22
2022-02-13,16,21
2022-02-20,29,23
2022-02-27,26,19
2022-03-06,14,20
2022-03-13,20,14
2022-03-20,26,19
2022-03-27,15,16
2022-04-03,17,25
2022-04-10,22,14
2022-04-17,0,17
2022-04-24,11,11
2022-05-01,14,23
2022-05-08,0,22
2022-05-15,18,13
2022-05-22,0,20
2022-05-29,0,20
2022-06-05,14,0
2022-06-12,15,12
2022-06-19,0,13
2022-06-26,0,24
2022-07-03,0,12
2022-07-10,16,0
2022-07-17,0,13
2022-07-24,16,22
2022-07-31,13,21
2022-08-07,0,14
2022-08-14,15,22
2022-08-21,26,25
2022-08-28,19,20
2022-09-04,15,12
2022-09-11,27,31
2022-09-18,24,27
2022-09-25,42,35
2022-10-02,43,35
2022-10-09,21,37
2022-10-16,54,37
2022-10-23,62,66
2022-10-30,42,61
2022-11-06,51,73
2022-11-13,59,63
2022-11-20,64,81
2022-11-27,56,75
2022-12-04,60,80
2022-12-11,78,100
2022-12-18,73,82
2022-12-25,65,81
2023-01-01,41,49
2023-01-08,43,21
2023-01-15,24,50
2023-01-22,38,47
2023-01-29,41,39
2023-02-05,23,33
2023-02-12,19,32
2023-02-19,18,34
2023-02-26,47,35
2023-03-05,23,30
2023-03-12,24,34
2023-03-19,29,33
2023-03-26,16,30
2023-04-02,16,22
2023-04-09,21,29
2023-04-16,0,25
2023-04-23,22,17
2023-04-30,24,13
2023-05-07,0,19
2023-05-14,22,21
2023-05-21,15,23
2023-05-28,14,14
2023-06-04,16,18
2023-06-11,0,19
2023-06-18,24,18
2023-06-25,13,19
2023-07-02,16,19
2023-07-09,0,15
2023-07-16,14,15
2023-07-23,13,18
2023-07-30,18,20
2023-08-06,18,20
2023-08-13,0,19
2023-08-20,26,0
2023-08-27,23,17
2023-09-03,24,17
2023-09-10,16,13
2023-09-17,21,24
2023-09-24,40,30
2023-10-01,26,38
2023-10-08,45,53
2023-10-15,58,34
2023-10-22,57,70
2023-10-29,43,64
2023-11-05,34,42
2023-11-12,41,67
2023-11-19,56,82
2023-11-26,50,63
2023-12-03,53,66
2023-12-10,54,66
2023-12-17,53,65
2023-12-24,27,49
2023-12-31,36,42
