Week,Linen Pants: (New York),Linen Pants: (California)
2020-01-05,12,5
2020-01-12,12,5
2020-01-19,17,5
2020-01-26,7,7
2020-02-02,17,6
2020-02-09,17,8
2020-02-16,17,10
2020-02-23,14,11
2020-03-01,11,7
2020-03-08,11,6
2020-03-15,8,5
2020-03-22,11,3
2020-03-29,15,7
2020-04-05,14,6
2020-04-12,14,5
2020-04-19,16,12
2020-04-26,14,13
2020-05-03,19,18
2020-05-10,23,11
2020-05-17,27,11
2020-05-24,24,13
2020-05-31,21,12
2020-06-07,24,15
2020-06-14,30,16
2020-06-21,37,18
2020-06-28,23,13
2020-07-05,28,19
2020-07-12,25,17
2020-07-19,19,13
2020-07-26,31,12
2020-08-02,26,11
2020-08-09,21,12
2020-08-16,22,10
2020-08-23,16,9
2020-08-30,18,11
2020-09-06,14,8
2020-09-13,17,10
2020-09-20,10,8
2020-09-27,9,6
2020-10-04,9,6
2020-10-11,13,7
2020-10-18,8,7
2020-10-25,9,6
2020-11-01,8,5
2020-11-08,11,4
2020-11-15,0,0
2020-11-22,10,4
2020-11-29,9,4
2020-12-06,6,8
2020-12-13,14,0
2020-12-20,9,3
2020-12-27,9,4
2021-01-03,12,5
2021-01-10,12,6
2021-01-17,13,8
2021-01-24,19,4
2021-01-31,12,9
2021-02-07,15,7
2021-02-14,17,6
2021-02-21,15,7
2021-02-28,14,11
2021-03-07,17,10
2021-03-14,14,9
2021-03-21,20,14
2021-03-28,26,18
2021-04-04,23,21
2021-04-11,18,25
2021-04-18,28,20
2021-04-25,29,20
2021-05-02,25,23
2021-05-09,34,19
2021-05-16,48,20
2021-05-23,42,25
2021-05-30,36,26
2021-06-06,45,27
2021-06-13,38,28
2021-06-20,43,30
2021-06-27,42,23
2021-07-04,38,26
2021-07-11,28,26
2021-07-18,30,15
2021-07-25,33,18
2021-08-01,29,20
2021-08-08,29,18
2021-08-15,20,18
2021-08-22,18,11
2021-08-29,18,13
2021-09-05,17,9
2021-09-12,14,13
2021-09-19,12,15
2021-09-26,12,11
2021-10-03,12,7
2021-10-10,10,8
2021-10-17,11,6
2021-10-24,14,8
2021-10-31,0,8
2021-11-07,14,7
2021-11-14,12,6
2021-11-21,12,7
2021-11-28,14,5
2021-12-05,12,6
2021-12-12,10,6
2021-12-19,13,4
2021-12-26,12,4
2022-01-02,6,8
2022-01-09,17,5
2022-01-16,8,6
2022-01-23,14,10
2022-01-30,13,7
2022-02-06,17,20
2022-02-13,16,19
2022-02-20,20,16
2022-02-27,18,18
2022-03-06,34,24
2022-03-13,27,26
2022-03-20,24,28
2022-03-27,29,27
2022-04-03,32,30
2022-04-10,35,32
2022-04-17,40,29
2022-04-24,37,30
2022-05-01,40,40
2022-05-08,52,34
2022-05-15,63,41
2022-05-22,62,41
2022-05-29,83,47
2022-06-05,63,51
2022-06-12,77,50
2022-06-19,70,53
2022-06-26,69,57
2022-07-03,67,48
2022-07-10,67,44
2022-07-17,59,49
2022-07-24,53,41
2022-07-31,55,40
2022-08-07,48,38
2022-08-14,35,35
2022-08-21,37,30
2022-08-28,25,26
2022-09-04,30,26
2022-09-11,19,17
2022-09-18,15,20
2022-09-25,20,20
2022-10-02,10,16
2022-10-09,13,12
2022-10-16,8,9
2022-10-23,6,12
2022-10-30,15,10
2022-11-06,10,8
2022-11-13,13,9
2022-11-20,13,14
2022-11-27,12,9
2022-12-04,9,8
2022-12-11,11,7
2022-12-18,10,10
2022-12-25,7,8
2023-01-01,21,15
2023-01-08,16,13
2023-01-15,12,15
2023-01-22,19,17
2023-01-29,17,14
2023-02-05,20,19
2023-02-12,21,16
2023-02-19,31,17
2023-02-26,23,22
2023-03-05,26,24
2023-03-12,31,26
2023-03-19,39,34
2023-03-26,36,31
2023-04-02,50,37
2023-04-09,71,50
2023-04-16,66,49
2023-04-23,63,61
2023-04-30,49,45
2023-05-07,91,52
2023-05-14,87,56
2023-05-21,77,61
2023-05-28,100,68
2023-06-04,87,64
2023-06-11,79,62
2023-06-18,86,80
2023-06-25,92,73
2023-07-02,91,62
2023-07-09,85,68
2023-07-16,73,71
2023-07-23,75,68
2023-07-30,59,56
2023-08-06,58,45
2023-08-13,48,46
2023-08-20,41,40
2023-08-27,37,34
2023-09-03,40,31
2023-09-10,29,29
2023-09-17,15,20
2023-09-24,17,17
2023-10-01,14,17
2023-10-08,15,16
2023-10-15,16,18
2023-10-22,16,21
2023-10-29,16,16
2023-11-05,17,13
2023-11-12,14,18
2023-11-19,14,20
2023-11-26,14,14
2023-12-03,16,12
2023-12-10,13,13
2023-12-17,11,12
2023-12-24,22,13
2023-12-31,19,13
