Week,Soft Girl Aesthetic: (New York),Soft Girl Aesthetic: (California)
1/5/2020,0,0
1/12/2020,0,0
1/19/2020,0,78
1/26/2020,0,0
2/2/2020,0,0
2/9/2020,0,36
2/16/2020,0,0
2/23/2020,0,0
3/1/2020,58,37
3/8/2020,0,66
3/15/2020,0,45
3/22/2020,0,63
3/29/2020,0,0
4/5/2020,0,43
4/12/2020,55,52
4/19/2020,0,0
4/26/2020,0,30
5/3/2020,0,79
5/10/2020,0,30
5/17/2020,0,63
5/24/2020,0,40
5/31/2020,0,0
6/7/2020,0,0
6/14/2020,0,60
6/21/2020,0,0
6/28/2020,0,65
7/5/2020,61,44
7/12/2020,0,0
7/19/2020,0,46
7/26/2020,0,69
8/2/2020,0,0
8/9/2020,0,47
8/16/2020,0,44
8/23/2020,0,42
8/30/2020,0,36
9/6/2020,0,41
9/13/2020,0,0
9/20/2020,0,74
9/27/2020,80,37
10/4/2020,0,67
10/11/2020,0,0
10/18/2020,0,64
10/25/2020,0,0
11/1/2020,0,0
11/8/2020,61,0
11/15/2020,0,63
11/22/2020,69,43
11/29/2020,0,73
12/6/2020,0,0
12/13/2020,0,72
12/20/2020,83,70
12/27/2020,0,41
1/3/2021,72,39
1/10/2021,0,0
1/17/2021,0,0
1/24/2021,0,0
1/31/2021,0,37
2/7/2021,0,77
2/14/2021,0,0
2/21/2021,0,0
2/28/2021,0,0
3/7/2021,0,0
3/14/2021,71,36
3/21/2021,0,0
3/28/2021,100,0
4/4/2021,0,0
4/11/2021,0,0
4/18/2021,68,0
4/25/2021,0,0
5/2/2021,0,0
5/9/2021,0,0
5/16/2021,0,0
5/23/2021,0,45
5/30/2021,0,0
6/6/2021,0,0
6/13/2021,0,0
6/20/2021,0,39
6/27/2021,0,0
7/4/2021,0,0
7/11/2021,0,0
7/18/2021,0,0
7/25/2021,0,0
8/1/2021,0,0
8/8/2021,0,0
8/15/2021,0,0
8/22/2021,77,0
8/29/2021,0,0
9/5/2021,0,57
9/12/2021,0,0
9/19/2021,0,0
9/26/2021,0,0
10/3/2021,59,0
10/10/2021,0,0
10/17/2021,0,0
10/24/2021,0,0
10/31/2021,0,0
11/7/2021,0,47
11/14/2021,0,0
11/21/2021,0,0
11/28/2021,0,0
12/5/2021,0,0
12/12/2021,0,0
12/19/2021,0,0
12/26/2021,0,0
1/2/2022,0,0
1/9/2022,0,0
1/16/2022,0,0
1/23/2022,0,0
1/30/2022,0,0
2/6/2022,0,0
2/13/2022,0,0
2/20/2022,0,0
2/27/2022,0,0
3/6/2022,0,0
3/13/2022,0,0
3/20/2022,0,0
3/27/2022,0,0
4/3/2022,0,0
4/10/2022,0,37
4/17/2022,0,0
4/24/2022,0,38
5/1/2022,0,0
5/8/2022,0,0
5/15/2022,0,0
5/22/2022,0,39
5/29/2022,0,0
6/5/2022,0,0
6/12/2022,0,38
6/19/2022,0,0
6/26/2022,0,0
7/3/2022,0,0
7/10/2022,0,0
7/17/2022,0,0
7/24/2022,0,0
7/31/2022,0,0
8/7/2022,0,0
8/14/2022,0,0
8/21/2022,0,0
8/28/2022,0,0
9/4/2022,0,0
9/11/2022,0,0
9/18/2022,0,0
9/25/2022,0,0
10/2/2022,0,0
10/9/2022,0,0
10/16/2022,0,0
10/23/2022,0,0
10/30/2022,0,0
11/6/2022,0,0
11/13/2022,0,0
11/20/2022,0,0
11/27/2022,0,0
12/4/2022,76,0
12/11/2022,0,0
12/18/2022,0,0
12/25/2022,0,0
1/1/2023,0,0
1/8/2023,0,0
1/15/2023,0,0
1/22/2023,0,0
1/29/2023,53,0
2/5/2023,0,0
2/12/2023,0,0
2/19/2023,0,0
2/26/2023,0,0
3/5/2023,0,0
3/12/2023,0,0
3/19/2023,0,0
3/26/2023,0,0
4/2/2023,0,0
4/9/2023,0,0
4/16/2023,0,0
4/23/2023,0,0
4/30/2023,0,75
5/7/2023,0,0
5/14/2023,0,0
5/21/2023,0,0
5/28/2023,0,41
6/4/2023,0,0
6/11/2023,0,0
6/18/2023,0,0
6/25/2023,0,0
7/2/2023,0,0
7/9/2023,0,0
7/16/2023,0,0
7/23/2023,0,0
7/30/2023,0,0
8/6/2023,0,0
8/13/2023,97,0
8/20/2023,0,0
8/27/2023,0,0
9/3/2023,88,0
9/10/2023,0,0
9/17/2023,0,0
9/24/2023,0,0
10/1/2023,0,48
10/8/2023,0,0
10/15/2023,0,0
10/22/2023,0,0
10/29/2023,0,0
11/5/2023,0,0
11/12/2023,0,0
11/19/2023,0,0
11/26/2023,0,0
12/3/2023,0,0
12/10/2023,67,0
12/17/2023,0,0
12/24/2023,0,0
12/31/2023,0,0
