Week,Tube Tops: (New York),Tube Tops: (California)
2020-01-05,35,0
2020-01-12,0,0
2020-01-19,0,18
2020-01-26,29,0
2020-02-02,28,31
2020-02-09,0,27
2020-02-16,48,22
2020-02-23,30,43
2020-03-01,0,60
2020-03-08,0,32
2020-03-15,31,19
2020-03-22,0,22
2020-03-29,26,42
2020-04-05,32,33
2020-04-12,46,26
2020-04-19,26,40
2020-04-26,29,33
2020-05-03,53,48
2020-05-10,41,53
2020-05-17,31,38
2020-05-24,40,57
2020-05-31,29,39
2020-06-07,70,39
2020-06-14,100,50
2020-06-21,58,35
2020-06-28,88,50
2020-07-05,43,50
2020-07-12,45,38
2020-07-19,0,44
2020-07-26,43,50
2020-08-02,33,45
2020-08-09,49,41
2020-08-16,33,26
2020-08-23,0,32
2020-08-30,42,24
2020-09-06,0,20
2020-09-13,0,24
2020-09-20,0,0
2020-09-27,42,30
2020-10-04,0,29
2020-10-11,36,0
2020-10-18,0,37
2020-10-25,0,0
2020-11-01,0,0
2020-11-08,0,25
2020-11-15,0,0
2020-11-22,0,0
2020-11-29,0,0
2020-12-06,0,0
2020-12-13,0,0
2020-12-20,0,0
2020-12-27,0,0
2021-01-03,47,0
2021-01-10,0,0
2021-01-17,0,0
2021-01-24,0,21
2021-01-31,0,0
2021-02-07,0,0
2021-02-14,37,0
2021-02-21,0,0
2021-02-28,0,32
2021-03-07,0,24
2021-03-14,0,19
2021-03-21,0,0
2021-03-28,30,21
2021-04-04,41,0
2021-04-11,32,22
2021-04-18,36,0
2021-04-25,0,21
2021-05-02,0,43
2021-05-09,0,17
2021-05-16,31,19
2021-05-23,0,29
2021-05-30,51,0
2021-06-06,71,29
2021-06-13,49,39
2021-06-20,0,40
2021-06-27,0,0
2021-07-04,31,0
2021-07-11,35,25
2021-07-18,0,0
2021-07-25,0,24
2021-08-01,0,19
2021-08-08,0,25
2021-08-15,0,0
2021-08-22,0,29
2021-08-29,0,0
2021-09-05,32,19
2021-09-12,0,0
2021-09-19,0,19
2021-09-26,0,0
2021-10-03,0,0
2021-10-10,0,0
2021-10-17,0,22
2021-10-24,26,0
2021-10-31,0,22
2021-11-07,0,23
2021-11-14,0,0
2021-11-21,0,20
2021-11-28,0,0
2021-12-05,0,0
2021-12-12,0,0
2021-12-19,42,0
2021-12-26,32,0
2022-01-02,0,0
2022-01-09,77,0
2022-01-16,0,0
2022-01-23,0,0
2022-01-30,0,0
2022-02-06,0,0
2022-02-13,36,18
2022-02-20,0,0
2022-02-27,26,0
2022-03-06,0,0
2022-03-13,0,0
2022-03-20,36,0
2022-03-27,0,19
2022-04-03,0,19
2022-04-10,0,0
2022-04-17,0,0
2022-04-24,0,0
2022-05-01,33,0
2022-05-08,0,0
2022-05-15,0,39
2022-05-22,54,30
2022-05-29,0,22
2022-06-05,31,26
2022-06-12,0,34
2022-06-19,0,31
2022-06-26,0,0
2022-07-03,0,30
2022-07-10,61,0
2022-07-17,0,18
2022-07-24,0,0
2022-07-31,0,25
2022-08-07,0,27
2022-08-14,0,32
2022-08-21,0,0
2022-08-28,0,25
2022-09-04,0,18
2022-09-11,0,26
2022-09-18,0,19
2022-09-25,0,0
2022-10-02,0,0
2022-10-09,0,17
2022-10-16,0,0
2022-10-23,45,0
2022-10-30,0,16
2022-11-06,0,23
2022-11-13,0,21
2022-11-20,0,0
2022-11-27,24,15
2022-12-04,0,0
2022-12-11,0,0
2022-12-18,0,29
2022-12-25,0,0
2023-01-01,29,0
2023-01-08,0,0
2023-01-15,0,0
2023-01-22,0,0
2023-01-29,0,22
2023-02-05,0,0
2023-02-12,0,26
2023-02-19,0,0
2023-02-26,0,0
2023-03-05,0,25
2023-03-12,0,21
2023-03-19,32,0
2023-03-26,26,22
2023-04-02,0,0
2023-04-09,38,37
2023-04-16,0,26
2023-04-23,0,36
2023-04-30,0,26
2023-05-07,34,30
2023-05-14,0,24
2023-05-21,53,25
2023-05-28,37,25
2023-06-04,0,28
2023-06-11,29,29
2023-06-18,0,28
2023-06-25,31,24
2023-07-02,0,37
2023-07-09,46,24
2023-07-16,32,40
2023-07-23,26,38
2023-07-30,0,39
2023-08-06,40,38
2023-08-13,0,35
2023-08-20,0,43
2023-08-27,0,29
2023-09-03,0,32
2023-09-10,0,23
2023-09-17,0,33
2023-09-24,0,30
2023-10-01,0,21
2023-10-08,0,0
2023-10-15,29,33
2023-10-22,31,18
2023-10-29,29,20
2023-11-05,0,0
2023-11-12,0,0
2023-11-19,0,0
2023-11-26,0,0
2023-12-03,0,20
2023-12-10,0,17
2023-12-17,0,18
2023-12-24,0,21
2023-12-31,0,0
